epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1416.81,1.22429,1.19733,1.49612,0.86885,0.83245,0.88732,0.58596,1.21745,1.0624,1.63444,0.000848969,0.000848969,0.000848969
43,1448.56,1.23603,1.08897,1.44878,0.93847,0.93939,0.95961,0.61502,1.16715,0.94485,1.59843,0.000834822,0.000834822,0.000834822
44,1474.97,1.29432,1.10811,1.54545,0.94419,0.94849,0.95599,0.59566,1.13497,0.92826,1.58754,0.000820675,0.000820675,0.000820675
45,1504.19,1.27851,1.14556,1.49055,0.96765,0.9697,0.99038,0.65525,1.02274,0.82374,1.51369,0.000806528,0.000806528,0.000806528
46,1532.47,1.28342,1.11185,1.48381,0.99201,0.97556,0.995,0.56324,1.34141,0.81931,1.80426,0.00079238,0.00079238,0.00079238
47,1557.09,1.15734,1.03959,1.45146,0.9684,0.96861,0.97238,0.52778,1.43023,0.89649,1.92889,0.000778233,0.000778233,0.000778233
48,1581.55,1.20928,1.06413,1.46596,0.95605,0.93939,0.96564,0.53003,1.34704,0.96015,1.82058,0.000764086,0.000764086,0.000764086
49,1606.22,1.23743,1.08651,1.45977,0.95917,0.94009,0.98032,0.62656,1.07404,0.89472,1.59846,0.000749939,0.000749939,0.000749939
50,1630.91,1.1512,1.02954,1.43115,0.84318,0.85252,0.93076,0.54943,1.37789,1.27156,1.83449,0.000735792,0.000735792,0.000735792
51,1655.28,1.1994,1.10132,1.43877,0.84691,0.85213,0.94279,0.58708,1.09929,0.98944,1.6217,0.000721645,0.000721645,0.000721645
52,1681.92,1.14033,1.08185,1.45831,0.98272,0.97321,0.995,0.66043,1.08542,0.86028,1.58833,0.000707498,0.000707498,0.000707498
53,1707.77,1.14245,1.00786,1.39593,0.95221,0.9571,0.97264,0.60077,1.11457,0.81739,1.64117,0.000693351,0.000693351,0.000693351
54,1733.13,1.11008,0.93544,1.454,0.97891,1,0.995,0.46948,1.51763,0.8334,2.00087,0.000679204,0.000679204,0.000679204
55,1760.61,1.15164,0.97955,1.39365,0.90515,1,0.995,0.53153,1.28343,0.9277,1.73626,0.000665057,0.000665057,0.000665057
56,1786.18,1.1628,0.9425,1.40449,0.94734,0.99864,0.99197,0.61518,0.99547,0.9213,1.48123,0.000650909,0.000650909,0.000650909
57,1811.52,1.13384,0.94107,1.43121,0.97437,0.99637,0.995,0.47724,1.52125,0.86686,1.97221,0.000636762,0.000636762,0.000636762
58,1837.17,1.29771,1.12491,1.49608,0.98577,0.97919,0.995,0.44726,1.7497,0.93404,2.25687,0.000622615,0.000622615,0.000622615
59,1861.69,1.18904,1.02589,1.40023,0.98678,0.96971,0.995,0.57872,1.36148,0.87369,1.78332,0.000608468,0.000608468,0.000608468
60,1886.21,1.23439,0.99273,1.50638,0.97313,0.96667,0.99197,0.58934,1.30152,0.8474,1.72795,0.000594321,0.000594321,0.000594321
61,1913.91,1.14872,0.94918,1.36594,0.96053,0.96293,0.99197,0.55237,1.337,0.83975,1.78547,0.000580174,0.000580174,0.000580174
62,1940.49,1.12217,0.96257,1.36739,0.97285,0.96224,0.99197,0.65398,1.13136,0.74238,1.56169,0.000566027,0.000566027,0.000566027
63,1968.36,1.05892,0.985,1.37918,0.9735,0.98167,0.995,0.69036,1.03393,0.73377,1.51049,0.00055188,0.00055188,0.00055188
64,1993.63,1.0901,0.94039,1.41459,0.97494,0.9925,0.995,0.69692,1.06666,0.71741,1.57143,0.000537733,0.000537733,0.000537733
65,2017.79,1.09508,0.93071,1.34908,0.98859,0.99753,0.995,0.64954,1.30617,0.71738,1.81525,0.000523586,0.000523586,0.000523586
66,2043.44,1.14805,0.8662,1.37488,0.99375,1,0.995,0.62279,1.38865,0.79246,1.94675,0.000509438,0.000509438,0.000509438
67,2068.01,1.06217,0.83717,1.2997,0.99511,1,0.995,0.65514,1.30321,0.72205,1.83536,0.000495291,0.000495291,0.000495291
68,2093.59,1.12662,0.79577,1.35794,0.95155,0.99574,0.995,0.65182,1.32563,0.72667,1.86013,0.000481144,0.000481144,0.000481144
69,2119.14,1.07904,0.85255,1.35146,0.95778,0.89716,0.9925,0.62393,1.35348,0.76749,1.9046,0.000466997,0.000466997,0.000466997
70,2145.3,1.13695,0.85929,1.42207,0.813,0.93773,0.98857,0.5825,1.27985,0.8488,1.79068,0.00045285,0.00045285,0.00045285
71,2170.57,1.09044,0.92088,1.35684,0.81516,0.93508,0.98609,0.61226,1.15272,0.78302,1.63875,0.000438703,0.000438703,0.000438703
72,2196.74,1.09278,0.84791,1.36523,0.97798,0.98408,0.995,0.68773,0.94349,0.62485,1.44392,0.000424556,0.000424556,0.000424556
73,2224.8,1.087,0.85005,1.39492,0.98381,0.99756,0.995,0.68521,1.08937,0.76482,1.53824,0.000410409,0.000410409,0.000410409
74,2251.99,0.97597,0.80163,1.28892,0.97668,0.9955,0.995,0.64793,1.17675,0.97232,1.63953,0.000396262,0.000396262,0.000396262
75,2278.83,1.03122,0.83222,1.35211,0.98846,0.99949,0.995,0.67499,1.10045,0.82492,1.54734,0.000382115,0.000382115,0.000382115
76,2302.77,1.06956,0.83913,1.31931,0.99269,1,0.995,0.68533,1.03514,0.67299,1.46751,0.000367967,0.000367967,0.000367967
77,2326.51,0.99229,0.77617,1.29962,0.98893,1,0.995,0.69717,0.92111,0.66154,1.40449,0.00035382,0.00035382,0.00035382
78,2350.15,1.04658,0.85204,1.36499,0.98938,1,0.995,0.65241,0.91334,0.66678,1.42808,0.000339673,0.000339673,0.000339673
79,2374.02,1.03281,0.75178,1.30605,0.99042,0.99957,0.995,0.64867,0.94346,0.66292,1.44955,0.000325526,0.000325526,0.000325526
80,2399.2,1.04882,0.76183,1.32981,0.98426,0.99539,0.995,0.6705,0.96244,0.6662,1.43705,0.000311379,0.000311379,0.000311379
81,2424.26,1.03178,0.80675,1.38428,0.98732,0.9966,0.995,0.68648,0.96577,0.67239,1.44021,0.000297232,0.000297232,0.000297232
82,2449.97,1.01925,0.83477,1.35293,0.98244,0.99328,0.995,0.70222,0.84733,0.62634,1.35241,0.000283085,0.000283085,0.000283085
83,2476.67,0.9353,0.73118,1.27615,0.9877,0.97498,0.995,0.69537,0.81883,0.5915,1.32415,0.000268938,0.000268938,0.000268938
84,2502.23,0.93999,0.77288,1.27246,0.98788,0.97376,0.995,0.69311,0.89212,0.57239,1.35854,0.000254791,0.000254791,0.000254791
85,2529.27,0.95333,0.76294,1.32132,0.99057,0.97342,0.995,0.67366,0.95074,0.58171,1.40625,0.000240644,0.000240644,0.000240644
86,2553.68,1.06423,0.77259,1.31489,0.9912,0.97886,0.995,0.68906,0.91697,0.58545,1.38006,0.000226497,0.000226497,0.000226497
87,2578.72,1.05233,0.7755,1.32304,0.99304,1,0.995,0.68858,0.91905,0.56957,1.38297,0.000212349,0.000212349,0.000212349
