epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,946.476,1.23061,1.16215,1.45345,0.95262,0.9781,0.995,0.65165,1.33104,1.10834,1.75331,0.000848969,0.000848969,0.000848969
43,969.429,1.26478,1.20881,1.52896,0.96065,1,0.99,0.64933,1.35446,1.09196,1.73061,0.000834822,0.000834822,0.000834822
44,992.177,1.23334,1.15597,1.48086,0.98213,0.96667,0.98019,0.50217,1.69618,1.22483,2.04256,0.000820675,0.000820675,0.000820675
45,1014.52,1.17689,1.12217,1.42538,0.84944,0.82995,0.91101,0.44802,1.80053,1.4496,2.1728,0.000806528,0.000806528,0.000806528
46,1036.28,1.18087,1.03542,1.43379,0.70171,0.85047,0.90567,0.41797,1.76429,1.80794,2.12535,0.00079238,0.00079238,0.00079238
47,1057.5,1.22171,1.15471,1.51444,0.89439,0.81252,0.86328,0.37036,2.11395,1.56453,2.54209,0.000778233,0.000778233,0.000778233
48,1079.49,1.23332,1.17737,1.4948,0.87627,0.86551,0.87274,0.4076,2.02645,1.48044,2.37472,0.000764086,0.000764086,0.000764086
49,1100.91,1.17011,1.08185,1.44162,0.88807,0.90909,0.93835,0.49598,1.70999,1.2277,2.03712,0.000749939,0.000749939,0.000749939
50,1122.03,1.11465,1.01204,1.39371,0.9829,0.99523,0.995,0.63881,1.36207,0.93921,1.71188,0.000735792,0.000735792,0.000735792
51,1143.9,1.04684,0.93727,1.31387,0.97811,0.99915,0.995,0.63411,1.34971,0.97668,1.70019,0.000721645,0.000721645,0.000721645
52,1165,1.17106,1.06524,1.43167,0.97089,1,0.995,0.61721,1.39754,0.98004,1.75533,0.000707498,0.000707498,0.000707498
53,1186.55,1.18511,1.04415,1.41316,0.97411,1,0.995,0.60538,1.44024,0.98917,1.82072,0.000693351,0.000693351,0.000693351
54,1207.81,1.20003,1.11131,1.50954,0.96657,1,0.995,0.6224,1.36162,0.97758,1.70061,0.000679204,0.000679204,0.000679204
55,1229.98,1.14249,1.07277,1.41953,0.95423,0.99321,0.995,0.63751,1.31403,0.94867,1.63545,0.000665057,0.000665057,0.000665057
56,1253.65,1.18432,1.0232,1.42775,0.98729,1,0.995,0.65181,1.30462,0.86839,1.60983,0.000650909,0.000650909,0.000650909
57,1277.86,1.14756,1.01308,1.42532,0.99129,1,0.995,0.61749,1.33389,0.86794,1.64229,0.000636762,0.000636762,0.000636762
58,1299.91,1.20435,1.0292,1.38962,0.98899,1,0.995,0.5955,1.41546,0.89285,1.71446,0.000622615,0.000622615,0.000622615
